game_id,team_id,finished_games,duration,duration_avg,xg90,xga90,xgsh,xgash,xg90index,xga90index,xg90avg
85804,14861,,,,,,,,,,
85804,6719,,,,,,,,,,
85801,6727,,,,,,,,,,
85801,6724,,,,,,,,,,
85802,14855,,,,,,,,,,
85802,14867,,,,,,,,,,
85808,6717,,,,,,,,,,
85808,14850,,,,,,,,,,
85806,6721,,,,,,,,,,
85806,14865,,,,,,,,,,
85805,6718,,,,,,,,,,
85805,6713,,,,,,,,,,
85803,6711,,,,,,,,,,
85803,26972,,,,,,,,,,
85809,6722,,,,,,,,,,
85809,6712,,,,,,,,,,
85810,6716,,,,,,,,,,
85810,6714,,,,,,,,,,
85811,6715,,,,,,,,,,
85811,6723,,,,,,,,,,
85863,6712,1.0,96.0,95.8,2.136,0.59,0.228,0.07,1.657,0.458,1.289
85863,6727,1.0,95.0,95.8,1.419,0.588,0.062,0.089,1.101,0.456,1.289
85866,6713,1.0,95.0,95.8,1.329,0.728,0.128,0.064,1.031,0.565,1.289
85866,6721,1.0,96.0,95.8,0.893,0.771,0.079,0.075,0.693,0.598,1.289
85868,14867,1.0,97.0,95.8,0.714,1.25,0.064,0.112,0.554,0.97,1.289
85868,6711,1.0,95.0,95.8,2.187,0.963,0.154,0.145,1.697,0.747,1.289
85864,14865,1.0,96.0,95.8,0.771,0.893,0.075,0.079,0.598,0.693,1.289
85864,6718,1.0,95.0,95.8,0.728,1.329,0.064,0.128,0.565,1.031,1.289
85865,6724,1.0,95.0,95.8,0.588,1.419,0.089,0.062,0.456,1.101,1.289
85865,6715,1.0,95.0,95.8,1.737,0.432,0.122,0.114,1.348,0.335,1.289
85867,14850,1.0,95.0,95.8,2.837,1.117,0.158,0.091,2.201,0.867,1.289
85867,14861,1.0,97.0,95.8,0.808,2.233,0.073,0.134,0.627,1.733,1.289
85870,6717,1.0,95.0,95.8,1.117,2.837,0.091,0.158,0.867,2.201,1.289
85870,6714,1.0,97.0,95.8,1.534,1.508,0.118,0.181,1.19,1.17,1.289
85869,6719,1.0,97.0,95.8,2.233,0.808,0.134,0.073,1.733,0.627,1.289
85869,6716,1.0,97.0,95.8,1.508,1.534,0.181,0.118,1.17,1.19,1.289
85872,26972,1.0,95.0,95.8,0.963,2.187,0.145,0.154,0.747,1.697,1.289
85872,14855,1.0,97.0,95.8,1.25,0.714,0.112,0.064,0.97,0.554,1.289
85871,6723,1.0,95.0,95.8,0.432,1.737,0.114,0.122,0.335,1.348,1.289
85871,6722,1.0,96.0,95.8,0.59,2.136,0.07,0.228,0.458,1.657,1.289
85878,6713,2.0,193.0,191.1,1.738,0.452,0.129,0.044,1.417,0.369,1.227
85878,6714,2.0,192.0,191.1,1.267,0.944,0.068,0.168,1.033,0.77,1.227
85879,6727,2.0,189.0,191.1,1.015,0.985,0.059,0.109,0.827,0.803,1.227
85879,26972,2.0,189.0,191.1,1.239,1.517,0.1,0.138,1.01,1.237,1.227
85880,6719,2.0,191.0,191.1,1.388,0.702,0.118,0.057,1.132,0.573,1.227
85880,14850,2.0,189.0,191.1,1.717,1.498,0.088,0.131,1.4,1.222,1.227
85877,6724,2.0,191.0,191.1,0.623,1.641,0.102,0.092,0.508,1.338,1.227
85877,6716,2.0,191.0,191.1,1.057,1.032,0.098,0.104,0.862,0.842,1.227
85883,6721,2.0,194.0,191.1,0.536,1.46,0.052,0.109,0.437,1.191,1.227
85883,6722,2.0,191.0,191.1,0.381,1.848,0.051,0.157,0.311,1.507,1.227
85882,6718,2.0,192.0,191.1,1.358,1.486,0.116,0.159,1.107,1.212,1.227
85882,14867,2.0,193.0,191.1,0.828,2.021,0.093,0.181,0.675,1.648,1.227
85884,6715,2.0,191.0,191.1,1.799,0.545,0.132,0.116,1.467,0.445,1.227
85884,6717,2.0,190.0,191.1,0.742,1.916,0.098,0.09,0.605,1.563,1.227
85881,14861,2.0,191.0,191.1,1.337,1.422,0.123,0.075,1.09,1.16,1.227
85881,6712,2.0,190.0,191.1,1.765,0.598,0.169,0.06,1.439,0.488,1.227
85885,14865,2.0,193.0,191.1,1.207,1.438,0.129,0.123,0.984,1.173,1.227
85885,14855,2.0,191.0,191.1,1.047,1.11,0.111,0.076,0.854,0.905,1.227
85886,6711,2.0,191.0,191.1,2.495,0.952,0.196,0.144,2.034,0.776,1.227
85886,6723,2.0,190.0,191.1,0.994,0.954,0.11,0.091,0.81,0.778,1.227
85890,14855,3.0,285.0,285.8,0.867,0.911,0.106,0.067,0.673,0.707,1.289
85890,6721,3.0,290.0,285.8,1.348,1.284,0.099,0.106,1.046,0.996,1.289
85891,6712,3.0,286.0,285.8,1.947,0.443,0.129,0.049,1.51,0.344,1.289
85891,6711,3.0,286.0,285.8,2.677,0.935,0.181,0.135,2.077,0.725,1.289
85889,14867,3.0,287.0,285.8,0.677,2.28,0.083,0.162,0.525,1.769,1.289
85889,6713,3.0,287.0,285.8,1.423,0.961,0.116,0.088,1.104,0.745,1.289
85888,6723,3.0,285.0,285.8,0.963,1.65,0.113,0.124,0.747,1.28,1.289
85888,6724,3.0,285.0,285.8,0.735,1.948,0.086,0.126,0.57,1.511,1.289
85894,6722,3.0,287.0,285.8,0.564,2.229,0.069,0.151,0.438,1.729,1.289
85894,14865,3.0,287.0,285.8,0.978,1.131,0.098,0.116,0.759,0.877,1.289
85895,6716,3.0,285.0,285.8,1.557,1.01,0.145,0.091,1.208,0.783,1.289
85895,6727,3.0,284.0,285.8,0.823,1.103,0.051,0.151,0.638,0.856,1.289
85893,6717,3.0,284.0,285.8,0.567,2.18,0.081,0.101,0.44,1.691,1.289
85893,14861,3.0,287.0,285.8,0.936,1.718,0.096,0.083,0.726,1.333,1.289
85892,6714,3.0,286.0,285.8,1.509,0.888,0.09,0.128,1.171,0.689,1.289
85892,6719,3.0,286.0,285.8,1.691,0.634,0.141,0.058,1.312,0.492,1.289
85896,14850,3.0,284.0,285.8,1.309,1.767,0.083,0.151,1.016,1.371,1.289
85896,6715,3.0,285.0,285.8,2.101,0.435,0.128,0.086,1.63,0.337,1.289
85897,26972,3.0,284.0,285.8,1.272,1.157,0.134,0.096,0.987,0.898,1.289
85897,6718,3.0,286.0,285.8,1.836,1.118,0.127,0.132,1.424,0.867,1.289
